ff24,fb6f,7f,1f,0040,ffd1ea320e,1,f932,fb91,00,3a,015a,ffd442b666,2,ffc9,f5cc,7f,3a,0133,ffd69b3791,3,bd
0323,fcbd,7f,1f,0021,ffe70643d8,1,fcb4,fa56,7f,38,00c0,ffe95ec66f,2,0095,092a,00,3b,014d,ffebb747a3,3,be
0323,fcbd,7f,1f,0021,ffe70643d8,1,fcb4,fa56,7f,38,00c0,ffe95ec66f,2,0095,092a,00,3b,014d,ffebb747a3,3,bf
0339,ff76,7f,1f,003d,fffc225763,1,f7ec,fe5a,01,3d,01a8,fffe7ada6b,2,0789,00c2,7f,3d,0171,0000d35bb5,3,c1
fbcb,fbe6,7f,1f,002c,00113e6b44,1,f946,fa25,00,36,0062,001396ee83,2,06c1,07e5,01,35,00f4,0015ef6fd4,3,c2
fbcb,fbe6,7f,1f,002c,00113e6b44,1,f946,fa25,00,36,0062,001396ee83,2,06c1,07e5,01,35,00f4,0015ef6fd4,3,c3
fff2,04a7,7f,1f,0040,00265a7ec2,1,f9b6,0136,01,37,0131,0028b30269,2,fade,081b,01,37,0106,002b0b83da,3,c4
fff2,04a7,7f,1f,0040,00265a7ec2,1,f9b6,0136,01,37,0131,0028b30269,2,fade,081b,01,37,0106,002b0b83da,3,c5
fc23,0314,7f,1f,002d,003b769297,1,f694,fb0c,01,38,00c1,003dcf1682,2,0761,024c,00,37,011c,00402797e6,3,c6
fc23,0314,7f,1f,002d,003b769297,1,f694,fb0c,01,38,00c1,003dcf1682,2,0761,024c,00,37,011c,00402797e6,3,c7
fc7b,ffb5,7e,1f,0042,005092a624,1,f5cc,065b,7f,38,013c,0052eb2a85,2,f7cf,f6e0,00,38,0115,005543ac08,3,c8
fc7b,ffb5,7e,1f,0042,005092a624,1,f5cc,065b,7f,38,013c,0052eb2a85,2,f7cf,f6e0,00,38,0115,005543ac08,3,c9
01fb,0280,7f,1f,002d,0065aebbfc,1,faa4,ff9a,00,39,00b3,0068073e85,2,0912,fb6f,01,38,0127,006a5fc01d,3,ca
01fb,0280,7f,1f,002d,0065aebbfc,1,faa4,ff9a,00,39,00b3,0068073e85,2,0912,fb6f,01,38,0127,006a5fc01d,3,cb
018a,fb78,7f,1f,0043,007acacf8e,1,fd02,0661,00,38,0142,007d235265,2,07bf,fb39,7f,39,0129,007f7bd42d,3,cc
018a,fb78,7f,1f,0043,007acacf8e,1,fd02,0661,00,38,0142,007d235265,2,07bf,fb39,7f,39,0129,007f7bd42d,3,cd
03b3,fd9e,7f,1f,0022,008fe6e74f,1,f846,02f5,01,39,0069,00923f6a8b,2,0742,f6b5,01,38,0110,009497ec44,3,ce
03b3,fd9e,7f,1f,0022,008fe6e74f,1,f846,02f5,01,39,0069,00923f6a8b,2,0742,f6b5,01,38,0110,009497ec44,3,cf
0373,00d9,7e,1f,0046,00a502fee5,1,ff31,073d,7f,39,0158,00a75b826c,2,013a,09e5,01,39,0123,00a9b4044f,3,d0
0373,00d9,7e,1f,0046,00a502fee5,1,ff31,073d,7f,39,0158,00a75b826c,2,013a,09e5,01,39,0123,00a9b4044f,3,d1
0102,fbcb,7f,1f,0024,00e5f2ae16,1,f9a7,0952,7f,3c,00a8,00e84b3288,2,f671,fae1,00,37,011a,00eaa3b490,3,03
